"NAME","TYPE","NodeDescription","NodeMinimumPressure","NodePressure","NodeSymbolName","NodeStatus","NodeXCoordinate","NodeYCoordinate","NodeFlowByCategory(Base Thermal)","NodeFlowByCategory(Base Volumetric)","NodeFlowByCategory(C1)","NodeFlowByCategory(C2)","NodeFlowByCategory(C3)","NodeFlowByCategory(C4)","NodeFlowByCategory(CT)","NodeFlowByCategory(D1)","NodeFlowByCategory(DC)","NodeFlowByCategory(DM)","NodeFlowByCategory(I2)","NodeThermalFlow","NodeResultFlow","NodeFlowProfileNameByCategory(Base Thermal)","NodeFlowProfileNameByCategory(Base Volumetric)","NodeFlowProfileNameByCategory(C1)","NodeFlowProfileNameByCategory(C2)","NodeFlowProfileNameByCategory(C3)","NodeFlowProfileNameByCategory(C4)","NodeFlowProfileNameByCategory(CT)","NodeFlowProfileNameByCategory(D1)","NodeFlowProfileNameByCategory(DC)","NodeFlowProfileNameByCategory(DM)","NodeFlowProfileNameByCategory(I2)"
"60201300000604","Nodes","604","21.000000","37.167009","DDS demands","Known Flow","316580.977300","691100.590264","","0.000000","","","","","","-8.689999","","","","-7.770753","-8.689999","","","","","","","","D1 PROFILE","","",""
"60201300000465","Nodes","OPR 9743","21.000000","36.348567","OPR","Known Flow","316666.227323","691102.090265","","0.000000","","","","","","-3.729999","","","","-3.335432","-3.729999","","","","","","","","D1 PROFILE","","",""
"60201300000391","Nodes","391","21.000000","46.271071","DDS demands","Known Flow","315592.356031","691153.247279","","0.000000","","","","","","-2.570000","","","","-2.298140","-2.570000","","","","","","","","D1 PROFILE","","",""
"60201300000088","Nodes","88","21.000000","28.221164","Default Known Flow Node","Known Flow","316522.193473","692683.462621","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201300001723","Nodes","1723","21.000000","37.177818","Default Known Flow Node","Known Flow","316076.602163","690964.590227","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600468","Nodes","55600468","21.000000","37.439521","DDS demands","Known Flow","316135.352179","691011.465240","","0.000000","","","","","","-15.710000","","","","-14.048163","-15.710000","","","","","","","","D1 PROFILE","","",""
"60201300000130","Nodes","130","21.000000","29.640423","DDS demands","Known Flow","316546.727291","692552.465659","","0.000000","","","","","","-9.270000","","","","-8.289400","-9.270000","","","","","","","","D1 PROFILE","","",""
"60201300001396","Nodes","1396","21.000000","36.157594","DDS demands","Known Flow","315361.976969","690591.965126","","0.000000","","","","","","-11.600000","","","","-10.372928","-11.600000","","","","","","","","D1 PROFILE","","",""
"60201300001395","Nodes","1395","21.000000","36.407092","DDS demands","Known Flow","315392.476977","690640.715139","","0.000000","","","","","","-2.819999","","","","-2.521694","-2.819999","","","","","","","","D1 PROFILE","","",""
"60201300001323","Nodes","1323","21.000000","24.738275","DDS demands","Known Flow","314200.372652","688943.599677","","0.000000","","","","","","-15.079999","","","","-13.484805","-15.079999","","","","","","","","D1 PROFILE","","",""
"60201300001361","Nodes","1361","21.000000","25.984627","DDS demands","Known Flow","314371.982699","688847.713651","","0.000000","","","","","","-1.659999","","","","-1.484401","-1.659999","","","","","","","","D1 PROFILE","","",""
"60201300000573","Nodes","573","21.000000","26.083648","DDS demands","Known Flow","314340.896691","688797.444638","","0.000000","","","","","","-9.390000","","","","-8.396706","-9.390000","","","","","","","","D1 PROFILE","","",""
"60201300000568","Nodes","568","21.000000","30.519804","DDS demands","Known Flow","314387.102703","688854.970653","","0.000000","","","","","","-3.930000","","","","-3.514276","-3.930000","","","","","","","","D1 PROFILE","","",""
"60201300001233","Nodes","1233","21.000000","30.557574","DDS demands","Known Flow","314462.476724","688955.214681","","0.000000","","","","","","-10.050000","","","","-8.986890","-10.050000","","","","","","","","D1 PROFILE","","",""
"60201355600042","Nodes","55600042","21.000000","30.557574","Default Known Flow Node","Known Flow","314461.225723","688955.214681","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201300001428","Nodes","1428","21.000000","30.557574","Default Known Flow Node","Known Flow","314425.599714","688973.714686","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600043","Nodes","55600043","21.000000","30.575154","Default Known Flow Node","Known Flow","314470.101726","688955.732681","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600244","Nodes","55600244","21.000000","28.172664","Default Known Flow Node","Known Flow","314531.339742","688736.216621","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600129","Nodes","55600129","21.000000","29.467964","Default Known Flow Node","Known Flow","314245.715665","689025.487700","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600046","Nodes","55600046","21.000000","29.423843","Default Known Flow Node","Known Flow","314248.635666","689025.074700","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600201","Nodes","55600201","21.000000","29.423843","Default Known Flow Node","Known Flow","314251.520666","689023.942699","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201300001391","Nodes","1391","21.000000","47.536066","DDS demands","Known Flow","314620.976767","689578.214850","","0.000000","","","","","","-10.729999","","","","-9.594957","-10.729999","","","","","","","","D1 PROFILE","","",""
"60201300001389","Nodes","1389","21.000000","48.328092","DDS demands","Known Flow","314857.476831","689647.964869","","0.000000","","","","","","","","","-6.000000","-5.365307","-6.000000","","","","","","","","","","","I2 PROFILE"
"60201355600162","Nodes","55600162","21.000000","49.101518","Default Known Flow Node","Known Flow","314916.851847","689808.464913","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201300000004","Nodes","Hill of Beath DG, Tel (01383611307), Site ID 2088","21.000000","49.999998","Default Known Pressure Node","Known Pressure","314927.226850","689802.589911","","4052.523960","","","","","","","","","","1488.577763","1664.670029","","","","","","","","","","",""
"60201300001401","Nodes","1401","21.000000","49.060216","DDS demands","Known Flow","314908.101845","689817.964915","","0.000000","","","","","","-8.090000","","","","-7.234223","-8.090000","","","","","","","","D1 PROFILE","","",""
"60201300000541","Nodes","541","21.000000","48.952771","DDS demands","Known Flow","314917.351848","689879.839932","","0.000000","","","","","","-6.049999","","","","-5.410018","-6.049999","","","","","","","","D1 PROFILE","","",""
"60201355600257","Nodes","55600257","21.000000","48.852591","Default Known Flow Node","Known Flow","314953.601360","689952.970624","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201300001416","Nodes","1416","21.000000","48.852591","Default Known Flow Node","Known Flow","314954.435148","689954.650462","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600258","Nodes","55600258","21.000000","45.676983","DDS demands","Known Flow","314982.976865","689968.964956","","0.000000","","","","","","-6.949999","","","","-6.214813","-6.949999","","","","","","","","D1 PROFILE","","",""
"60201355600255","Nodes","55600255","21.000000","48.335222","Default Known Flow Node","Known Flow","315022.976876","689904.214939","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600256","Nodes","55600256","21.000000","47.814372","DDS demands","Known Flow","315058.076797","689932.496085","","0.000000","","","","","","-1.379999","","","","-1.234020","-1.379999","","","","","","","","D1 PROFILE","","",""
"60201300001402","Nodes","1402","21.000000","47.786126","DDS demands","Known Flow","315062.226887","689935.839947","","0.000000","","","","","","-10.110000","","","","-9.040542","-10.110000","","","","","","","","D1 PROFILE","","",""
"60201355600109","Nodes","55600109","21.000000","47.726759","DDS demands","Known Flow","315030.601878","689950.214951","","0.000000","","","","","","-1.129999","","","","-1.010466","-1.129999","","","","","","","","D1 PROFILE","","",""
"60201355600259","Nodes","55600259","21.000000","46.859281","DDS demands","Known Flow","314983.226865","690010.464968","","0.000000","","","","","","-7.430000","","","","-6.644039","-7.430000","","","","","","","","D1 PROFILE","","",""
"60201300000533","Nodes","533","21.000000","45.881559","DDS demands","Known Flow","314908.101845","690061.714982","","0.000000","","","","","","-13.290000","","","","-11.884156","-13.290000","","","","","","","","D1 PROFILE","","",""
"60201355600260","Nodes","55600260","21.000000","46.849702","Default Known Flow Node","Known Flow","314979.226864","690012.214968","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201300000077","Nodes","77","21.000000","45.763092","DDS demands","Known Flow","314748.976802","690171.590012","","0.000000","","","","","","-11.449999","","","","-10.238795","-11.449999","","","","","","","","D1 PROFILE","","",""
"60201300000076","Nodes","76","21.000000","44.902871","DDS demands","Known Flow","314776.601809","690127.840000","","0.000000","","","","","","-17.370001","","","","-15.532565","-17.370001","","","","","","","","D1 PROFILE","","",""
"60201300000528","Nodes","528","21.000000","45.373543","DDS demands","Known Flow","314741.851800","690028.339973","","0.000000","","","","","","-12.510000","","","","-11.186666","-12.510000","","","","","","","","D1 PROFILE","","",""
"60201300000075","Nodes","75","21.000000","46.115933","DDS demands","Known Flow","314843.476827","690138.090002","","0.000000","","","","","","-2.599999","","","","-2.324966","-2.599999","","","","","","","","D1 PROFILE","","",""
"60201355600213","Nodes","55600213","21.000000","45.577297","DDS demands","Known Flow","314697.339594","690116.983618","","0.000000","","","","","","-8.590000","","","","-7.681332","-8.590000","","","","","","","","D1 PROFILE","","",""
"60201355600262","Nodes","55600262","21.000000","46.115259","Default Known Flow Node","Known Flow","314839.851826","690145.465004","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201300000530","Nodes","530","21.000000","46.116122","DDS demands","Known Flow","314851.476830","690141.465003","","0.000000","","","","","","-10.169999","","","","-9.094195","-10.169999","","","","","","","","D1 PROFILE","","",""
"60201355600263","Nodes","55600263","21.000000","46.043300","Default Known Flow Node","Known Flow","314811.976819","690203.965020","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201300000532","Nodes","532","21.000000","46.064946","DDS demands","Known Flow","314889.351840","690154.840007","","0.000000","","","","","","-4.010000","","","","-3.585814","-4.010000","","","","","","","","D1 PROFILE","","",""
"60201300000527","Nodes","527","21.000000","46.192996","DDS demands","Known Flow","314877.851837","690178.590013","","0.000000","","","","","","-5.050000","","","","-4.515800","-5.050000","","","","","","","","D1 PROFILE","","",""
"60201355600264","Nodes","55600264","21.000000","46.279372","Default Known Flow Node","Known Flow","314872.226835","690209.090022","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600265","Nodes","55600265","21.000000","45.956855","Default Known Flow Node","Known Flow","314840.351827","690216.965024","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201300000529","Nodes","529","21.000000","46.114109","DDS demands","Known Flow","314834.226825","690158.340008","","0.000000","","","","","","-6.130000","","","","-5.481555","-6.130000","","","","","","","","D1 PROFILE","","",""
"60201355600218","Nodes","55600218","21.000000","46.201631","Default Known Flow Node","Known Flow","314813.351819","690130.965000","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600206","Nodes","55600206","21.000000","46.380287","DDS demands","Known Flow","314971.351862","690015.964969","","0.000000","-6.000000","","","","","","","","","-5.365307","-6.000000","","","C1 PROFILE","","","","","","","",""
"60201300001380","Nodes","1380","21.000000","44.710246","DDS demands","Known Flow","315071.226889","690333.090055","","0.000000","","","","","","-5.940000","","","","-5.311654","-5.940000","","","","","","","","D1 PROFILE","","",""
"60201355600087","Nodes","55600087","21.000000","34.464743","DDS demands","Known Flow","315308.351954","690419.965079","","0.000000","","","","","","-3.790000","","","","-3.389085","-3.790000","","","","","","","","D1 PROFILE","","",""
"60201300001378","Nodes","1378","21.000000","34.465351","DDS demands","Known Flow","315308.226954","690423.590080","","0.000000","","","","","","-15.259999","","","","-13.645765","-15.259999","","","","","","","","D1 PROFILE","","",""
"60201300001375","Nodes","1375","21.000000","35.493426","DDS demands","Known Flow","315042.351882","690420.215079","","0.000000","","","","","","-15.399999","","","","-13.770955","-15.399999","","","","","","","","D1 PROFILE","","",""
"60201300001374","Nodes","1374","21.000000","35.121166","DDS demands","Known Flow","315016.601875","690442.090085","","0.000000","","","","","","-8.439999","","","","-7.547198","-8.439999","","","","","","","","D1 PROFILE","","",""
"60201300001376","Nodes","1376","21.000000","35.834794","DDS demands","Known Flow","315148.476910","690480.715096","","0.000000","","","","","","-11.629999","","","","-10.399753","-11.629999","","","","","","","","D1 PROFILE","","",""
"60201355600270","Nodes","55600270","21.000000","34.958270","DDS demands","Known Flow","315239.931204","690430.428497","","0.000000","","","","","","-4.099999","","","","-3.666293","-4.099999","","","","","","","","D1 PROFILE","","",""
"60201300000525","Nodes","525","21.000000","35.838928","DDS demands","Known Flow","315139.351908","690426.465081","","0.000000","","","","","","-18.010000","","","","-16.104864","-18.010000","","","","","","","","D1 PROFILE","","",""
"60201355600268","Nodes","55600268","21.000000","35.095280","DDS demands","Known Flow","315174.226917","690421.715080","","0.000000","","","","","","-2.769999","","","","-2.476983","-2.769999","","","","","","","","D1 PROFILE","","",""
"60201300001379","Nodes","1379","21.000000","34.310216","DDS demands","Known Flow","315300.476952","690482.215096","","0.000000","","","","","","-8.229999","","","","-7.359412","-8.229999","","","","","","","","D1 PROFILE","","",""
"60201355600240","Nodes","55600240","21.000000","34.310216","Default Known Flow Node","Known Flow","315315.351956","690483.340096","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600106","Nodes","55600106","21.000000","34.297832","DDS demands","Known Flow","315275.851945","690479.840095","","0.000000","","","","","","-2.669999","","","","-2.387561","-2.669999","","","","","","","","D1 PROFILE","","",""
"60201355600267","Nodes","55600267","21.000000","35.074646","Default Known Flow Node","Known Flow","315176.351918","690410.965077","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600269","Nodes","55600269","21.000000","35.047728","DDS demands","Known Flow","315180.226919","690427.840081","","0.000000","","","","","","-8.949999","","","","-8.003250","-8.949999","","","","","","","","D1 PROFILE","","",""
"60201355600266","Nodes","55600266","21.000000","34.967583","Default Known Flow Node","Known Flow","315179.201343","690392.960967","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600059","Nodes","55600059","21.000000","35.074646","Default Known Flow Node","Known Flow","315190.351922","690412.965077","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201300001377","Nodes","1377","21.000000","34.952735","DDS demands","Known Flow","315179.601919","690390.465071","","0.000000","","","","","","-10.649999","","","","-9.523420","-10.649999","","","","","","","","D1 PROFILE","","",""
"60201355600232","Nodes","55600232","21.000000","34.967583","Default Known Flow Node","Known Flow","315192.101922","690394.840072","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600098","Nodes","55600098","21.000000","34.958270","Default Known Flow Node","Known Flow","315244.601937","690397.965073","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201300001196","Nodes","1196","21.000000","35.769151","DDS demands","Known Flow","315348.351965","690734.715165","","0.000000","","","","","","-11.270000","","","","-10.077835","-11.270000","","","","","","","","D1 PROFILE","","",""
"60201355600324","Nodes","55600324","21.000000","35.831021","Default Known Flow Node","Known Flow","315353.726966","690742.590167","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201300001195","Nodes","1195","21.000000","33.941226","DDS demands","Known Flow","315329.851960","690715.465159","","0.000000","","","","","","-21.540001","","","","-19.261455","-21.540001","","","","","","","","D1 PROFILE","","",""
"60201300001463","Nodes","1463","21.000000","41.162938","DDS demands","Known Flow","315491.977004","690968.090228","","0.000000","","","","","","-3.899999","","","","-3.487449","-3.899999","","","","","","","","D1 PROFILE","","",""
"60201355600355","Nodes","55600355","21.000000","41.734944","Default Known Flow Node","Known Flow","315483.102001","690984.465233","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600275","Nodes","55600275","21.000000","35.989105","Default Known Flow Node","Known Flow","315185.851921","690525.215108","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201300001397","Nodes","1397","21.000000","35.989105","DDS demands","Known Flow","315183.468084","690524.761546","","0.000000","","","","","","-15.979999","","","","-14.289601","-15.979999","","","","","","","","D1 PROFILE","","",""
"60201355600228","Nodes","55600228","21.000000","41.898572","Default Known Flow Node","Known Flow","315223.601931","690664.715146","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201300001554","Nodes","1554","21.000000","41.942039","DDS demands","Known Flow","315240.976936","690700.715155","","0.000000","","","","","","-2.779999","","","","-2.485925","-2.779999","","","","","","","","D1 PROFILE","","",""
"60201355600203","Nodes","55600203","21.000000","41.942039","Default Known Flow Node","Known Flow","315239.851935","690699.090155","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600277","Nodes","55600277","21.000000","36.106832","DDS demands","Known Flow","315361.601968","690550.340115","","0.000000","","","","","","-3.530000","","","","-3.156589","-3.530000","","","","","","","","D1 PROFILE","","",""
"60201355600325","Nodes","55600325","21.000000","40.058496","Default Known Flow Node","Known Flow","315416.101983","690743.965167","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600330","Nodes","55600330","21.000000","40.058496","Default Known Flow Node","Known Flow","315416.101983","690763.590173","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600306","Nodes","55600306","21.000000","37.372904","Default Known Flow Node","Known Flow","315425.726986","690685.090151","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600304","Nodes","55600304","21.000000","37.372904","Default Known Flow Node","Known Flow","315433.351988","690675.090149","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201300001315","Nodes","1315","21.000000","41.727752","DDS demands","Known Flow","315478.602000","690981.840232","","0.000000","","","","","","-4.530000","","","","-4.050807","-4.530000","","","","","","","","D1 PROFILE","","",""
"60201355600274","Nodes","55600274","21.000000","35.912206","Default Known Flow Node","Known Flow","315157.601913","690519.840106","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600280","Nodes","55600280","21.000000","36.157594","Default Known Flow Node","Known Flow","315361.976969","690592.965126","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201300001398","Nodes","1398","21.000000","34.476876","DDS demands","Known Flow","315236.476934","690622.465134","","0.000000","","","","","","-16.950000","","","","-15.156994","-16.950000","","","","","","","","D1 PROFILE","","",""
"60201300001193","Nodes","1193","21.000000","36.671170","DDS demands","Known Flow","315406.476981","690653.090143","","0.000000","","","","","","-3.370000","","","","-3.013514","-3.370000","","","","","","","","D1 PROFILE","","",""
"60201355600334","Nodes","55600334","21.000000","42.124842","Default Known Flow Node","Known Flow","315343.495255","690809.440507","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201300001194","Nodes","1194","21.000000","36.203889","DDS demands","Known Flow","315376.476972","690683.965151","","0.000000","","","","","","-7.949999","","","","-7.109032","-7.949999","","","","","","","","D1 PROFILE","","",""
"60201300000412","Nodes","412","21.000000","37.142409","DDS demands","Known Flow","315493.227004","690635.840138","","0.000000","","","","","","-8.869999","","","","-7.931712","-8.869999","","","","","","","","D1 PROFILE","","",""
"60201300000410","Nodes","410","21.000000","36.636465","DDS demands","Known Flow","315491.102004","690599.340128","","0.000000","","","","","","-5.980000","","","","-5.347423","-5.980000","","","","","","","","D1 PROFILE","","",""
"60201300000414","Nodes","414","21.000000","38.283595","DDS demands","Known Flow","315473.476999","690695.465154","","0.000000","","","","","","-6.500000","","","","-5.812416","-6.500000","","","","","","","","D1 PROFILE","","",""
"60201300001191","Nodes","1191","21.000000","39.410902","Default Known Flow Node","Known Flow","315456.101994","690749.590169","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201300000395","Nodes","395","21.000000","43.660992","DDS demands","Known Flow","315438.226989","690948.840223","","0.000000","","","","","","-11.100000","","","","-9.925818","-11.100000","","","","","","","","D1 PROFILE","","",""
"60201300001459","Nodes","1459","21.000000","42.674932","DDS demands","Known Flow","315469.976998","690953.090224","","0.000000","","","","","","-3.660000","","","","-3.272837","-3.660000","","","","","","","","D1 PROFILE","","",""
"60201300001458","Nodes","1458","21.000000","41.946580","DDS demands","Known Flow","315474.226999","690896.340209","","0.000000","","","","","","-9.020000","","","","-8.065845","-9.020000","","","","","","","","D1 PROFILE","","",""
"60201355600346","Nodes","55600346","21.000000","42.344553","Default Known Flow Node","Known Flow","315418.682902","690864.075736","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201300001188","Nodes","1188","21.000000","42.173717","DDS demands","Known Flow","315420.851985","690857.465198","","0.000000","","","","","","-15.129999","","","","-13.529516","-15.129999","","","","","","","","D1 PROFILE","","",""
"60201300000396","Nodes","396","21.000000","41.895190","DDS demands","Known Flow","315424.851986","690846.090195","","0.000000","","","","","","-2.789999","","","","-2.494867","-2.789999","","","","","","","","D1 PROFILE","","",""
"60201300000400","Nodes","400","21.000000","40.387284","DDS demands","Known Flow","315442.976991","690790.715180","","0.000000","","","","","","-8.140000","","","","-7.278933","-8.140000","","","","","","","","D1 PROFILE","","",""
"60201355600331","Nodes","55600331","21.000000","40.102107","Default Known Flow Node","Known Flow","315447.087509","690777.835554","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600278","Nodes","55600278","21.000000","35.763496","DDS demands","Known Flow","315194.476923","690565.590119","","0.000000","","","","","","-9.050000","","","","-8.092672","-9.050000","","","","","","","","D1 PROFILE","","",""
"60201355600305","Nodes","55600305","21.000000","34.784628","Default Known Flow Node","Known Flow","315313.226955","690683.965151","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600299","Nodes","55600299","21.000000","35.306908","Default Known Flow Node","Known Flow","315337.226962","690665.840146","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600303","Nodes","55600303","21.000000","34.696649","Default Known Flow Node","Known Flow","315306.851954","690675.090149","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600293","Nodes","55600293","21.000000","35.306908","Default Known Flow Node","Known Flow","315331.726960","690650.965142","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600340","Nodes","55600340","21.000000","42.126124","Default Known Flow Node","Known Flow","315360.854434","690822.461430","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600071","Nodes","55600071","21.000000","42.124842","Default Known Flow Node","Known Flow","315355.851967","690795.465181","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600327","Nodes","55600327","21.000000","35.831021","Default Known Flow Node","Known Flow","315348.976965","690756.465171","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600328","Nodes","55600328","21.000000","35.831021","Default Known Flow Node","Known Flow","315354.851967","690759.090171","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600326","Nodes","55600326","21.000000","35.831021","Default Known Flow Node","Known Flow","315345.226964","690754.840170","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600336","Nodes","55600336","21.000000","42.126124","Default Known Flow Node","Known Flow","315367.351970","690812.090186","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600338","Nodes","55600338","21.000000","42.126124","Default Known Flow Node","Known Flow","315369.601971","690813.590186","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600335","Nodes","55600335","21.000000","42.126124","Default Known Flow Node","Known Flow","315364.726969","690810.465185","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600344","Nodes","55600344","21.000000","42.172024","Default Known Flow Node","Known Flow","315395.840123","690843.485570","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600342","Nodes","55600342","21.000000","42.172024","Default Known Flow Node","Known Flow","315401.601979","690831.965191","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600343","Nodes","55600343","21.000000","42.172024","Default Known Flow Node","Known Flow","315408.351981","690833.965192","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201355600341","Nodes","55600341","21.000000","42.172024","Default Known Flow Node","Known Flow","315400.101979","690831.715191","","0.000000","","","","","","","","","","0.000000","0.000000","","","","","","","","","","",""
"60201300001460","Nodes","1460","21.000000","39.857438","DDS demands","Known Flow","315655.727048","690964.715227","","0.000000","","","","","","-14.550000","","","","-13.010870","-14.550000","","","","","","","","D1 PROFILE","","",""
